date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:30:34	38683/38683	---MCZ	200	added ('OK')	text/html	date:Thu,%2001%20Jan%201970%2000:00:00%20GMT	http://lambda.oxygenna.com/creative/elements-tabs/	D:/website/digiXinfo/lambda.oxygenna.com/creative/elements-tabs/index.html	(from http://lambda.oxygenna.com/creative/)
20:30:34	65846/65846	---MCZ	200	added ('OK')	text/html	date:Thu,%2001%20Jan%201970%2000:00:00%20GMT	http://lambda.oxygenna.com/creative/elements-buttons/	D:/website/digiXinfo/lambda.oxygenna.com/creative/elements-buttons/index.html	(from http://lambda.oxygenna.com/creative/)
20:30:35	42280/42280	---MCZ	200	added ('OK')	text/html	date:Thu,%2001%20Jan%201970%2000:00:00%20GMT	http://lambda.oxygenna.com/creative/elements-panels/	D:/website/digiXinfo/lambda.oxygenna.com/creative/elements-panels/index.html	(from http://lambda.oxygenna.com/creative/)
20:30:36	38083/38083	---MCZ	200	added ('OK')	text/html	date:Thu,%2001%20Jan%201970%2000:00:00%20GMT	http://lambda.oxygenna.com/creative/elements-tables/	D:/website/digiXinfo/lambda.oxygenna.com/creative/elements-tables/index.html	(from http://lambda.oxygenna.com/creative/)
20:30:45	76850/76850	---M--	200	added ('OK')	image/jpeg	etag:%22544a14cf-12c32%22	http://d169hzb81ub7u3.cloudfront.net/creative/wp-content/uploads/sites/8/2014/10/p01-800x600.jpg	D:/website/digiXinfo/d169hzb81ub7u3.cloudfront.net/creative/wp-content/uploads/sites/8/2014/10/p01-800x600.jpg	(from http://lambda.oxygenna.com/creative/)
20:30:46	34616/34616	---MCZ	200	added ('OK')	text/html	date:Thu,%2001%20Jan%201970%2000:00:00%20GMT	http://lambda.oxygenna.com/creative/550-2/	D:/website/digiXinfo/lambda.oxygenna.com/creative/550-2/index.html	(from http://lambda.oxygenna.com/creative/)
20:30:50	102843/102843	---M--	200	added ('OK')	image/jpeg	etag:%22544a14ce-191bb%22	http://d169hzb81ub7u3.cloudfront.net/creative/wp-content/uploads/sites/8/2014/10/p02-800x600.jpg	D:/website/digiXinfo/d169hzb81ub7u3.cloudfront.net/creative/wp-content/uploads/sites/8/2014/10/p02-800x600.jpg	(from http://lambda.oxygenna.com/creative/)
20:30:51	43244/43244	---MCZ	200	added ('OK')	text/html	date:Thu,%2001%20Jan%201970%2000:00:00%20GMT	http://lambda.oxygenna.com/creative/elements-pricing/	D:/website/digiXinfo/lambda.oxygenna.com/creative/elements-pricing/index.html	(from http://lambda.oxygenna.com/creative/)
20:30:52	99640/99640	---M--	200	added ('OK')	image/jpeg	etag:%22544a14cd-18538%22	http://d169hzb81ub7u3.cloudfront.net/creative/wp-content/uploads/sites/8/2014/10/p03-800x600.jpg	D:/website/digiXinfo/d169hzb81ub7u3.cloudfront.net/creative/wp-content/uploads/sites/8/2014/10/p03-800x600.jpg	(from http://lambda.oxygenna.com/creative/)
20:30:53	118379/118379	---M--	200	added ('OK')	image/jpeg	etag:%22544a14c6-1ce6b%22	http://d169hzb81ub7u3.cloudfront.net/creative/wp-content/uploads/sites/8/2014/10/p10-800x600.jpg	D:/website/digiXinfo/d169hzb81ub7u3.cloudfront.net/creative/wp-content/uploads/sites/8/2014/10/p10-800x600.jpg	(from http://lambda.oxygenna.com/creative/)
